year,pib_growth,pib_change
2011.0,-0.78,0.0
2012.0,-3.06,-2.28
2013.0,-1.0,2.06
2014.0,1.3,2.3
2015.0,4.64,3.34
2016.0,3.3,-1.34
2017.0,4.19,0.89
2018.0,3.61,-0.58
2019.0,3.42,-0.19
2020.0,-9.93,-13.35
2021.0,9.41,19.34
2022.0,11.36,1.95
2023.0,8.86,-2.5
2024.0,6.45,-2.41
