year,unemployment_rate
2011.0,21.39
2012.0,24.79
2013.0,26.09
2014.0,24.44
2015.0,22.06
2016.0,19.63
2017.0,17.22
2018.0,15.25
2019.0,14.1
2020.0,15.53
2021.0,14.91
2022.0,13.03
2023.0,12.18
2024.0,11.34
2025.0,10.5
