year,coste_laboral,coste_laboral_change
2011,2477.6,0.0
2012,2446.11,-31.49
2013,2443.34,-2.77
2014,2428.98,-14.36
2015,2453.62,24.64
2016,2442.58,-11.04
2017,2448.05,5.47
2018,2475.94,27.89
2019,2537.7,61.76
2020,2482.29,-55.41
2021,2641.0,158.71
2022,2760.46,119.46
2023,2915.84,155.38
2024,3034.14,118.3
2025,3134.11,99.97
