year,ratio_self_employed,ratio_limited
2011,0.5951063884529292,0.26456891450330616
2012,0.5884836248262841,0.2687416419749849
2013,0.5861253025006722,0.272143049206776
2014,0.581039838683307,0.2750013624720693
2015,0.5839494267652416,0.27250080360012857
2016,0.5999044991511036,0.26968378607809845
2017,0.622325073454848,0.2739020775371174
2018,0.6244224079746639,0.2740511915269197
2019,0.6278228515322205,0.2712004547568601
2020,0.634104938271605,0.2652777777777778
2021,0.6337612589294958,0.267030748524692
2022,0.6367556468172485,0.26504106776180697
2023,0.6352212904420518,0.2663950689135208
2024,0.6309169846072885,0.2703854755953164
