year,concursos,concursos_change
2011,9998.0,0.0
2012,13618.0,3620.0
2013,14835.0,1217.0
2014,10370.0,-4465.0
2015,7870.0,-2500.0
2016,6502.0,-1368.0
2017,6413.0,-89.0
2018,6520.0,107.0
2019,7198.0,678.0
2020,6715.0,-483.0
2021,4098.0,0.0
2022,4755.0,657.0
2023,4544.0,-211.0
2024,5589.0,1045.0
2025,5871.0,282.0
