year,profitability
2011,5.2
2012,4.3
2013,5.4
2014,5.7
2015,7.0
2016,8.2
2017,8.6
2018,9.0
2019,8.2
2020,4.3
2021,7.1
2022,9.0
2023,9.6
2024,10.7
