Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Ambos sexos;Total Nacional;Total;2025T4;9,93
Ambos sexos;Total Nacional;Total;2025T3;10,45
Ambos sexos;Total Nacional;Total;2025T2;10,29
Ambos sexos;Total Nacional;Total;2025T1;11,36
Ambos sexos;Total Nacional;Total;2024T4;10,61
Ambos sexos;Total Nacional;Total;2024T3;11,21
Ambos sexos;Total Nacional;Total;2024T2;11,27
Ambos sexos;Total Nacional;Total;2024T1;12,29
Ambos sexos;Total Nacional;Total;2023T4;11,8
Ambos sexos;Total Nacional;Total;2023T3;11,89
Ambos sexos;Total Nacional;Total;2023T2;11,67
Ambos sexos;Total Nacional;Total;2023T1;13,38
Ambos sexos;Total Nacional;Total;2022T4;12,99
Ambos sexos;Total Nacional;Total;2022T3;12,73
Ambos sexos;Total Nacional;Total;2022T2;12,69
Ambos sexos;Total Nacional;Total;2022T1;13,73
Ambos sexos;Total Nacional;Total;2021T4;13,44
Ambos sexos;Total Nacional;Total;2021T3;14,71
Ambos sexos;Total Nacional;Total;2021T2;15,39
Ambos sexos;Total Nacional;Total;2021T1;16,14
Ambos sexos;Total Nacional;Total;2020T4;16,13
Ambos sexos;Total Nacional;Total;2020T3;16,26
Ambos sexos;Total Nacional;Total;2020T2;15,33
Ambos sexos;Total Nacional;Total;2020T1;14,41
Ambos sexos;Total Nacional;Total;2019T4;13,78
Ambos sexos;Total Nacional;Total;2019T3;13,92
Ambos sexos;Total Nacional;Total;2019T2;14,02
Ambos sexos;Total Nacional;Total;2019T1;14,7
Ambos sexos;Total Nacional;Total;2018T4;14,45
Ambos sexos;Total Nacional;Total;2018T3;14,55
Ambos sexos;Total Nacional;Total;2018T2;15,28
Ambos sexos;Total Nacional;Total;2018T1;16,74
Ambos sexos;Total Nacional;Total;2017T4;16,55
Ambos sexos;Total Nacional;Total;2017T3;16,38
Ambos sexos;Total Nacional;Total;2017T2;17,22
Ambos sexos;Total Nacional;Total;2017T1;18,75
Ambos sexos;Total Nacional;Total;2016T4;18,63
Ambos sexos;Total Nacional;Total;2016T3;18,91
Ambos sexos;Total Nacional;Total;2016T2;20
Ambos sexos;Total Nacional;Total;2016T1;21
Ambos sexos;Total Nacional;Total;2015T4;20,9
Ambos sexos;Total Nacional;Total;2015T3;21,18
Ambos sexos;Total Nacional;Total;2015T2;22,37
Ambos sexos;Total Nacional;Total;2015T1;23,78
Ambos sexos;Total Nacional;Total;2014T4;23,7
Ambos sexos;Total Nacional;Total;2014T3;23,67
Ambos sexos;Total Nacional;Total;2014T2;24,47
Ambos sexos;Total Nacional;Total;2014T1;25,93
Ambos sexos;Total Nacional;Total;2013T4;25,73
Ambos sexos;Total Nacional;Total;2013T3;25,65
Ambos sexos;Total Nacional;Total;2013T2;26,06
Ambos sexos;Total Nacional;Total;2013T1;26,94
Ambos sexos;Total Nacional;Total;2012T4;25,77
Ambos sexos;Total Nacional;Total;2012T3;24,79
Ambos sexos;Total Nacional;Total;2012T2;24,4
Ambos sexos;Total Nacional;Total;2012T1;24,19
Ambos sexos;Total Nacional;Total;2011T4;22,56
Ambos sexos;Total Nacional;Total;2011T3;21,28
Ambos sexos;Total Nacional;Total;2011T2;20,64
Ambos sexos;Total Nacional;Total;2011T1;21,08
Ambos sexos;Total Nacional;Total;2010T4;20,11
Ambos sexos;Total Nacional;Total;2010T3;19,59
Ambos sexos;Total Nacional;Total;2010T2;19,89
Ambos sexos;Total Nacional;Total;2010T1;19,84
Ambos sexos;Total Nacional;Total;2009T4;18,66
Ambos sexos;Total Nacional;Total;2009T3;17,75
Ambos sexos;Total Nacional;Total;2009T2;17,77
Ambos sexos;Total Nacional;Total;2009T1;17,24
Ambos sexos;Total Nacional;Total;2008T4;13,79
Ambos sexos;Total Nacional;Total;2008T3;11,23
Ambos sexos;Total Nacional;Total;2008T2;10,36
Ambos sexos;Total Nacional;Total;2008T1;9,6
Ambos sexos;Total Nacional;Total;2007T4;8,57
Ambos sexos;Total Nacional;Total;2007T3;8,01
Ambos sexos;Total Nacional;Total;2007T2;7,93
Ambos sexos;Total Nacional;Total;2007T1;8,42
Ambos sexos;Total Nacional;Total;2006T4;8,26
Ambos sexos;Total Nacional;Total;2006T3;8,08
Ambos sexos;Total Nacional;Total;2006T2;8,44
Ambos sexos;Total Nacional;Total;2006T1;9,03
Ambos sexos;Total Nacional;Total;2005T4;8,71
Ambos sexos;Total Nacional;Total;2005T3;8,41
Ambos sexos;Total Nacional;Total;2005T2;9,32
Ambos sexos;Total Nacional;Total;2005T1;10,17
Ambos sexos;Total Nacional;Total;2004T4;10,53
Ambos sexos;Total Nacional;Total;2004T3;10,74
Ambos sexos;Total Nacional;Total;2004T2;11,09
Ambos sexos;Total Nacional;Total;2004T1;11,5
Ambos sexos;Total Nacional;Total;2003T4;11,37
Ambos sexos;Total Nacional;Total;2003T3;11,3
Ambos sexos;Total Nacional;Total;2003T2;11,28
Ambos sexos;Total Nacional;Total;2003T1;11,99
Ambos sexos;Total Nacional;Total;2002T4;11,61
Ambos sexos;Total Nacional;Total;2002T3;11,49
Ambos sexos;Total Nacional;Total;2002T2;11,15
Ambos sexos;Total Nacional;Total;2002T1;11,55
Ambos sexos;Total Nacional;Española;2025T4;9,01
Ambos sexos;Total Nacional;Española;2025T3;9,49
Ambos sexos;Total Nacional;Española;2025T2;9,27
Ambos sexos;Total Nacional;Española;2025T1;10,34
Ambos sexos;Total Nacional;Española;2024T4;9,62
Ambos sexos;Total Nacional;Española;2024T3;10,35
Ambos sexos;Total Nacional;Española;2024T2;10,22
Ambos sexos;Total Nacional;Española;2024T1;11,11
Ambos sexos;Total Nacional;Española;2023T4;10,8
Ambos sexos;Total Nacional;Española;2023T3;11,04
Ambos sexos;Total Nacional;Española;2023T2;10,7
Ambos sexos;Total Nacional;Española;2023T1;12,21
Ambos sexos;Total Nacional;Española;2022T4;11,98
Ambos sexos;Total Nacional;Española;2022T3;11,76
Ambos sexos;Total Nacional;Española;2022T2;11,64
Ambos sexos;Total Nacional;Española;2022T1;12,53
Ambos sexos;Total Nacional;Española;2021T4;12,29
Ambos sexos;Total Nacional;Española;2021T3;13,63
Ambos sexos;Total Nacional;Española;2021T2;14,1
Ambos sexos;Total Nacional;Española;2021T1;14,57
Ambos sexos;Total Nacional;Española;2020T4;14,46
Ambos sexos;Total Nacional;Española;2020T3;14,77
Ambos sexos;Total Nacional;Española;2020T2;13,86
Ambos sexos;Total Nacional;Española;2020T1;13,35
Ambos sexos;Total Nacional;Española;2019T4;12,83
Ambos sexos;Total Nacional;Española;2019T3;13,11
Ambos sexos;Total Nacional;Española;2019T2;13,09
Ambos sexos;Total Nacional;Española;2019T1;13,79
Ambos sexos;Total Nacional;Española;2018T4;13,54
Ambos sexos;Total Nacional;Española;2018T3;13,7
Ambos sexos;Total Nacional;Española;2018T2;14,35
Ambos sexos;Total Nacional;Española;2018T1;15,7
Ambos sexos;Total Nacional;Española;2017T4;15,57
Ambos sexos;Total Nacional;Española;2017T3;15,52
Ambos sexos;Total Nacional;Española;2017T2;16,35
Ambos sexos;Total Nacional;Española;2017T1;17,85
Ambos sexos;Total Nacional;Española;2016T4;17,83
Ambos sexos;Total Nacional;Española;2016T3;18,13
Ambos sexos;Total Nacional;Española;2016T2;19,01
Ambos sexos;Total Nacional;Española;2016T1;19,81
Ambos sexos;Total Nacional;Española;2015T4;19,89
Ambos sexos;Total Nacional;Española;2015T3;20,13
Ambos sexos;Total Nacional;Española;2015T2;21,22
Ambos sexos;Total Nacional;Española;2015T1;22,42
Ambos sexos;Total Nacional;Española;2014T4;22,39
Ambos sexos;Total Nacional;Española;2014T3;22,4
Ambos sexos;Total Nacional;Española;2014T2;23,11
Ambos sexos;Total Nacional;Española;2014T1;24,25
Ambos sexos;Total Nacional;Española;2013T4;24,17
Ambos sexos;Total Nacional;Española;2013T3;24,01
Ambos sexos;Total Nacional;Española;2013T2;24,58
Ambos sexos;Total Nacional;Española;2013T1;24,98
Ambos sexos;Total Nacional;Española;2012T4;24,05
Ambos sexos;Total Nacional;Española;2012T3;23,19
Ambos sexos;Total Nacional;Española;2012T2;22,55
Ambos sexos;Total Nacional;Española;2012T1;22,07
Ambos sexos;Total Nacional;Española;2011T4;20,53
Ambos sexos;Total Nacional;Española;2011T3;19,39
Ambos sexos;Total Nacional;Española;2011T2;18,76
Ambos sexos;Total Nacional;Española;2011T1;19,23
Ambos sexos;Total Nacional;Española;2010T4;18,37
Ambos sexos;Total Nacional;Española;2010T3;17,92
Ambos sexos;Total Nacional;Española;2010T2;18,12
Ambos sexos;Total Nacional;Española;2010T1;17,93
Ambos sexos;Total Nacional;Española;2009T4;16,74
Ambos sexos;Total Nacional;Española;2009T3;16,06
Ambos sexos;Total Nacional;Española;2009T2;15,93
Ambos sexos;Total Nacional;Española;2009T1;15,22
Ambos sexos;Total Nacional;Española;2008T4;12,47
Ambos sexos;Total Nacional;Española;2008T3;10,16
Ambos sexos;Total Nacional;Española;2008T2;9,31
Ambos sexos;Total Nacional;Española;2008T1;8,72
Ambos sexos;Total Nacional;Española;2007T4;7,93
Ambos sexos;Total Nacional;Española;2007T3;7,4
Ambos sexos;Total Nacional;Española;2007T2;7,29
Ambos sexos;Total Nacional;Española;2007T1;7,78
Ambos sexos;Total Nacional;Española;2006T4;7,71
Ambos sexos;Total Nacional;Española;2006T3;7,68
Ambos sexos;Total Nacional;Española;2006T2;7,95
Ambos sexos;Total Nacional;Española;2006T1;8,58
Ambos sexos;Total Nacional;Española;2005T4;8,51
Ambos sexos;Total Nacional;Española;2005T3;8,19
Ambos sexos;Total Nacional;Española;2005T2;9,04
Ambos sexos;Total Nacional;Española;2005T1;9,73
Ambos sexos;Total Nacional;Española;2004T4;10,23
Ambos sexos;Total Nacional;Española;2004T3;10,41
Ambos sexos;Total Nacional;Española;2004T2;10,84
Ambos sexos;Total Nacional;Española;2004T1;11,24
Ambos sexos;Total Nacional;Española;2003T4;11,03
Ambos sexos;Total Nacional;Española;2003T3;11
Ambos sexos;Total Nacional;Española;2003T2;10,95
Ambos sexos;Total Nacional;Española;2003T1;11,5
Ambos sexos;Total Nacional;Española;2002T4;11,33
Ambos sexos;Total Nacional;Española;2002T3;11,28
Ambos sexos;Total Nacional;Española;2002T2;10,96
Ambos sexos;Total Nacional;Española;2002T1;11,39
Ambos sexos;Total Nacional;Extranjera: Total;2025T4;14,51
Ambos sexos;Total Nacional;Extranjera: Total;2025T3;15,28
Ambos sexos;Total Nacional;Extranjera: Total;2025T2;15,41
Ambos sexos;Total Nacional;Extranjera: Total;2025T1;16,54
Ambos sexos;Total Nacional;Extranjera: Total;2024T4;15,79
Ambos sexos;Total Nacional;Extranjera: Total;2024T3;15,74
Ambos sexos;Total Nacional;Extranjera: Total;2024T2;16,85
Ambos sexos;Total Nacional;Extranjera: Total;2024T1;18,64
Ambos sexos;Total Nacional;Extranjera: Total;2023T4;17,19
Ambos sexos;Total Nacional;Extranjera: Total;2023T3;16,59
Ambos sexos;Total Nacional;Extranjera: Total;2023T2;17,13
Ambos sexos;Total Nacional;Extranjera: Total;2023T1;19,99
Ambos sexos;Total Nacional;Extranjera: Total;2022T4;18,89
Ambos sexos;Total Nacional;Extranjera: Total;2022T3;18,56
Ambos sexos;Total Nacional;Extranjera: Total;2022T2;19,08
Ambos sexos;Total Nacional;Extranjera: Total;2022T1;21,21
Ambos sexos;Total Nacional;Extranjera: Total;2021T4;20,83
Ambos sexos;Total Nacional;Extranjera: Total;2021T3;21,66
Ambos sexos;Total Nacional;Extranjera: Total;2021T2;23,57
Ambos sexos;Total Nacional;Extranjera: Total;2021T1;26,24
Ambos sexos;Total Nacional;Extranjera: Total;2020T4;26,58
Ambos sexos;Total Nacional;Extranjera: Total;2020T3;25,65
Ambos sexos;Total Nacional;Extranjera: Total;2020T2;24,92
Ambos sexos;Total Nacional;Extranjera: Total;2020T1;21,23
Ambos sexos;Total Nacional;Extranjera: Total;2019T4;19,98
Ambos sexos;Total Nacional;Extranjera: Total;2019T3;19,34
Ambos sexos;Total Nacional;Extranjera: Total;2019T2;20,26
Ambos sexos;Total Nacional;Extranjera: Total;2019T1;20,86
Ambos sexos;Total Nacional;Extranjera: Total;2018T4;20,77
Ambos sexos;Total Nacional;Extranjera: Total;2018T3;20,64
Ambos sexos;Total Nacional;Extranjera: Total;2018T2;21,92
Ambos sexos;Total Nacional;Extranjera: Total;2018T1;24,28
Ambos sexos;Total Nacional;Extranjera: Total;2017T4;23,57
Ambos sexos;Total Nacional;Extranjera: Total;2017T3;22,7
Ambos sexos;Total Nacional;Extranjera: Total;2017T2;23,65
Ambos sexos;Total Nacional;Extranjera: Total;2017T1;25,46
Ambos sexos;Total Nacional;Extranjera: Total;2016T4;24,66
Ambos sexos;Total Nacional;Extranjera: Total;2016T3;24,78
Ambos sexos;Total Nacional;Extranjera: Total;2016T2;27,31
Ambos sexos;Total Nacional;Extranjera: Total;2016T1;29,72
Ambos sexos;Total Nacional;Extranjera: Total;2015T4;28,38
Ambos sexos;Total Nacional;Extranjera: Total;2015T3;28,94
Ambos sexos;Total Nacional;Extranjera: Total;2015T2;30,84
Ambos sexos;Total Nacional;Extranjera: Total;2015T1;33,65
Ambos sexos;Total Nacional;Extranjera: Total;2014T4;33,22
Ambos sexos;Total Nacional;Extranjera: Total;2014T3;32,87
Ambos sexos;Total Nacional;Extranjera: Total;2014T2;34,14
Ambos sexos;Total Nacional;Extranjera: Total;2014T1;37,72
Ambos sexos;Total Nacional;Extranjera: Total;2013T4;36,45
Ambos sexos;Total Nacional;Extranjera: Total;2013T3;36,61
Ambos sexos;Total Nacional;Extranjera: Total;2013T2;35,74
Ambos sexos;Total Nacional;Extranjera: Total;2013T1;39,16
Ambos sexos;Total Nacional;Extranjera: Total;2012T4;36,51
Ambos sexos;Total Nacional;Extranjera: Total;2012T3;34,73
Ambos sexos;Total Nacional;Extranjera: Total;2012T2;35,7
Ambos sexos;Total Nacional;Extranjera: Total;2012T1;36,81
Ambos sexos;Total Nacional;Extranjera: Total;2011T4;34,54
Ambos sexos;Total Nacional;Extranjera: Total;2011T3;32,51
Ambos sexos;Total Nacional;Extranjera: Total;2011T2;31,57
Ambos sexos;Total Nacional;Extranjera: Total;2011T1;31,83
Ambos sexos;Total Nacional;Extranjera: Total;2010T4;30,21
Ambos sexos;Total Nacional;Extranjera: Total;2010T3;29,09
Ambos sexos;Total Nacional;Extranjera: Total;2010T2;29,94
Ambos sexos;Total Nacional;Extranjera: Total;2010T1;30,54
Ambos sexos;Total Nacional;Extranjera: Total;2009T4;29,48
Ambos sexos;Total Nacional;Extranjera: Total;2009T3;27,2
Ambos sexos;Total Nacional;Extranjera: Total;2009T2;27,94
Ambos sexos;Total Nacional;Extranjera: Total;2009T1;28,37
Ambos sexos;Total Nacional;Extranjera: Total;2008T4;21,12
Ambos sexos;Total Nacional;Extranjera: Total;2008T3;17,38
Ambos sexos;Total Nacional;Extranjera: Total;2008T2;16,35
Ambos sexos;Total Nacional;Extranjera: Total;2008T1;14,74
