Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2021T1;13,94
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2020T4;24,52
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2020T3;27,08
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2020T2;31,33
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2020T1;27,62
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2019T4;20,1
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2019T3;19,05
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2019T2;28,93
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2019T1;23,25
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2018T4;19,6
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2018T3;31,93
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2018T2;24,4
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2018T1;29,23
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2017T4;24,29
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2017T3;25,05
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2017T2;33,67
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2017T1;33,47
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2016T4;34,06
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2016T3;38,37
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2016T2;41,9
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2016T1;47,13
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2015T4;40,07
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2015T3;34,04
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2015T2;38,29
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2015T1;51,29
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2014T4;40,78
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2014T3;43,69
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2014T2;41,97
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2014T1;46,71
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2013T4;48,55
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2013T3;49,19
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2013T2;49,53
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2013T1;51,51
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2012T4;45,06
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2012T3;49,91
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2012T2;49,82
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2012T1;39,19
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2011T4;35,03
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2011T3;32,41
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2011T2;33,45
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2011T1;29,49
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2010T4;33,41
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2010T3;35,15
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2010T2;39,93
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2010T1;44,61
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2009T4;43,08
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2009T3;39
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2009T2;44,39
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2009T1;33,58
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2008T4;33,68
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2008T3;16,15
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2008T2;17,12
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2008T1;9,25
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2007T4;13,53
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2007T3;9,42
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2007T2;12,89
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2007T1;9,4
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2006T4;9,79
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2006T3;10,8
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2006T2;10,53
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2006T1;6,84
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2005T4;10,16
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2005T3;7,79
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2005T2;4,82
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2005T1;4,1
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2004T4;10,24
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2004T3;6,09
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2004T2;7,14
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2004T1;6
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2003T4;11,3
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2003T3;15,59
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2003T2;17,85
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2003T1;18,49
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2002T4;10,75
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2002T3;13,02
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2002T2;22,78
Hombres;08 Castilla - La Mancha;Extranjera: No pertenecientes a la Unión Europea;2002T1;16,77
Hombres;09 Cataluña;Total;2025T4;8,19
Hombres;09 Cataluña;Total;2025T3;7,33
Hombres;09 Cataluña;Total;2025T2;7,25
Hombres;09 Cataluña;Total;2025T1;7,77
Hombres;09 Cataluña;Total;2024T4;6,93
Hombres;09 Cataluña;Total;2024T3;8,62
Hombres;09 Cataluña;Total;2024T2;9,28
Hombres;09 Cataluña;Total;2024T1;8,74
Hombres;09 Cataluña;Total;2023T4;8,56
Hombres;09 Cataluña;Total;2023T3;8,21
Hombres;09 Cataluña;Total;2023T2;8,76
Hombres;09 Cataluña;Total;2023T1;10,21
Hombres;09 Cataluña;Total;2022T4;10,11
Hombres;09 Cataluña;Total;2022T3;8,72
Hombres;09 Cataluña;Total;2022T2;8,69
Hombres;09 Cataluña;Total;2022T1;10,16
Hombres;09 Cataluña;Total;2021T4;8,96
Hombres;09 Cataluña;Total;2021T3;10,34
Hombres;09 Cataluña;Total;2021T2;11,19
Hombres;09 Cataluña;Total;2021T1;11,6
Hombres;09 Cataluña;Total;2020T4;12,85
Hombres;09 Cataluña;Total;2020T3;12,23
Hombres;09 Cataluña;Total;2020T2;12,66
Hombres;09 Cataluña;Total;2020T1;9,94
Hombres;09 Cataluña;Total;2019T4;9,97
Hombres;09 Cataluña;Total;2019T3;10,31
Hombres;09 Cataluña;Total;2019T2;10,97
Hombres;09 Cataluña;Total;2019T1;11,12
Hombres;09 Cataluña;Total;2018T4;10,91
Hombres;09 Cataluña;Total;2018T3;10,48
Hombres;09 Cataluña;Total;2018T2;10,91
Hombres;09 Cataluña;Total;2018T1;11,49
Hombres;09 Cataluña;Total;2017T4;11,85
Hombres;09 Cataluña;Total;2017T3;11,7
Hombres;09 Cataluña;Total;2017T2;12,33
Hombres;09 Cataluña;Total;2017T1;14,22
Hombres;09 Cataluña;Total;2016T4;13,91
Hombres;09 Cataluña;Total;2016T3;13,91
Hombres;09 Cataluña;Total;2016T2;14,37
Hombres;09 Cataluña;Total;2016T1;16,26
